round,param_error,order_error
1,6.89972437187419451731784647563472,232.32525684203937998972833156585693
2,4.81275915943684928777202003402635,93.23433510684154157388547901064157
3,3.35651044584208291254867617681157,38.00958698743258423746738117188215
4,2.34296715409526967732745106332004,18.77594930336351097821534494869411
5,1.63392043776160611479042472637957,12.07219141402755013814385165460408
6,1.13902843508737072752978747303132,11.57242377333617078249972109915689
7,0.79389563278344255081719893496484,7.51533993519652909753858693875372
8,0.55545358747519912867574021220207,4.91252185061494195394971029600129
9,0.38645708455796135005755331803812,6.09786174624269605715198849793524
10,0.27017393783129756146266231553454,4.91236447141748655553783464711159
11,0.18839845370094587817533238194301,3.79118233274112581554504686209839
12,0.13269435277412505724825564357161,3.02558750507512197458481750800274
13,0.09339023257541828604288980386627,3.10473112840984333260507810337003
14,0.06487654952313409717490344519319,3.30870485806095437908425083151087
15,0.04486044262767310830675171473558,3.38942990041161884562370687490329
16,0.03143766550386106750636372453300,2.85694984340879587492167956952471
17,0.02234578938697120986667243869306,2.48947770640946064446552554727532
18,0.01578608684465343525715752548422,3.17506584106300504544151408481412
19,0.01112791420494460559176275182836,2.58053022473293758309864642797038
20,0.00800777222510240527242331154412,2.40468271020041335361838719109073
21,0.00580190971959351764475343316008,2.27266346503956917501909629208967
22,0.00415570557309444255089658781799,2.30435049518256374057045832159929
23,0.00318294626609322284238601241668,2.70750343097371137801587792637292
24,0.00242131005309154101468038788880,2.38356330815912276221979482215829
25,0.00179180422562424945809311793710,2.31768178120956047649769971030764
26,0.00155938568196353766204254043259,2.96158012948198301472757520969026
27,0.00128172182648514376701598393993,2.60379083950009615477938496042043
28,0.00084841665745082062155546509530,2.14150719929711241817926747899037
29,0.00090539212785145650741469580680,2.75622763059210962310885406623129
30,0.00092377375754464086110573362021,2.12525060922395114815230954263825
31,0.00074560399358364337629723195278,2.26712887901175763616379299492110
32,0.00064474530399370733046993109383,2.50775547685763378069623286137357
33,0.00063647753668104323221399454269,2.51892409038942721721809903101530
34,0.00065347731306858447553054247692,1.83718041862919378992557994934032
35,0.00052492955827385112677063716546,2.87432330333453966986212435585912
36,0.00054556010330469861813185161736,2.14040544494884521498079266166314
37,0.00054230056577192486955141248473,2.31335167458252399796947429422289
38,0.00044656099151491046583828392613,2.06838956413407037970841884089168
39,0.00039290257987092958025243660813,2.89849481286240129307429924665485
40,0.00035173413640084139064612145376,2.12960283350184198525312240235507
41,0.00035459716245006545065621139656,2.84225197020483077992025755520444
42,0.00033027489767054052371975103597,2.43189414619677757301019482838456
43,0.00036161585229899095850214507664,2.45917962583228311146399391873274
44,0.00045733593121097260159046982153,2.92072868230569948622132869786583
45,0.00043721257006074099038528402161,2.20936199603614724651379219722003
46,0.00037860353381560796215410391596,2.71419589266035865549042682687286
47,0.00038560116144181755259978672257,2.02080173176000954526898567564785
48,0.00029671581886342446310322884528,2.71720086068842725524064007913694
49,0.00042214776881881188597134269003,2.06291034654828298045003975857981
50,0.00055405670609390278436023891118,3.10185473145700640884570020716637
51,0.00050104308430154453901650413172,2.35602902236606626118486929044593
52,0.00059232994047815623606112467314,2.47627477976100518475277567631565
53,0.00052922787009201943675407164847,2.50613109191825156329969104263000
54,0.00050520806829587594499741953769,2.37678075045730441416935718734749
55,0.00039600441611147008114102163745,3.13817283438450811416942087817006
56,0.00040273982108335326657311270537,2.79857467290493566736131469951943
57,0.00036402982682769147171342183356,2.47465178823032871946452360134572
58,0.00037543791014854610565976145153,2.67478802599617004887022631010041
59,0.00045648169036321961655744416930,2.58758877760401695411474065622315
60,0.00047991878773476215336302175274,2.38490649735530491071244796330575
61,0.00039720702983625510995580043527,2.63488758345168383456780247797724
62,0.00045177704211400715461621757640,2.37596899515406922986926474550273
63,0.00057847623972057116148448585591,3.37173686654325477363158825028222
64,0.00052097357398639410064333787886,2.46113599573219454796912941674236
65,0.00054757080095566013078212108667,2.59873328904175382447760966897476
66,0.00055941637508577501947115706571,2.56095945730221830061168475367595
67,0.00053976235663663607589057846781,1.76479144135791332637097639235435
68,0.00051701695726155683097147175431,2.40267643778390294073687982745469
69,0.00059483891651387899024427952099,2.61621498023252119224935086094774
70,0.00065084464835124533621524278715,2.18185838503965134904660772008356
71,0.00051441386139675082667110928014,2.85824973065068110855690974858589
72,0.00045883086305892328837785498763,2.37481059018805940041829671827145
73,0.00052277674791953443467207307549,2.19730131623256497164220490958542
74,0.00037805738545798606153880427883,2.67687954986524978551187814446166
75,0.00041446603693676142832202913269,2.48774666961437818102353958238382
76,0.00037256720011497046485260398185,2.18252141289653911471191349846777
77,0.00035035667183369589849917247193,2.54276200656798856414297915762290
78,0.00032293562495466776596231284202,2.45749547196393214321119558007922
79,0.00040349113808425818294978171252,2.56569962115866623264537338400260
80,0.00052948189064902506650867053395,2.67567758033945679585485777352005
81,0.00050966671470958901934977802739,2.18341811450546652295656713249628
82,0.00062758730369498472168032776608,2.03412351913495204058790477574803
83,0.00062056641454411032299276484991,2.38261856268771765599012724123895
84,0.00055819742969751007244383345096,2.32388408463438977946680097375065
85,0.00057328814769885827473672179622,2.32308085552146703633979996084236
86,0.00047577845454467582175794859722,2.47825904783954786836375205894001
87,0.00039321717607491979418199434804,2.02192252571583486187023481761571
88,0.00038510975041453066047836273356,2.09672858386425753352000356244389
89,0.00039894096607961948564025078667,2.48192901154352885129128480912186
90,0.00040238889500177066338437725790,2.49167589456315985430023829394486
91,0.00043674045163064056929158596176,2.63151006266410902867391996551305
92,0.00047424874651351422993883488743,2.46806685319153684687876193493139
93,0.00053237340733108817758534314635,2.55021369046045043305070976202842
94,0.00064040278003510420212762710435,2.69038543250920492155842111969832
95,0.00061608122978157320304148925061,2.35360242551915588293809378228616
96,0.00045115758136668460132057134615,2.64876847312161523007034702459350
97,0.00054748791275693875491015205625,2.27052852176922526084013043146115
98,0.00035767925793800392497701068351,2.24105745127050104414934139640536
99,0.00041272296662273055822822698246,2.68662999918538147881008626427501
100,0.00051705755323461222161540717934,3.07312562259279742349349362484645
