round,param_error,order_error
1,9.14395996216127748823510046349838,472.93307335231588695023674517869949
2,8.34869635126319664664151787292212,431.94616268943764225696213543415070
3,7.62259372593898731906847388017923,394.52372435777584769311943091452122
4,6.95963742405651775158048621960916,360.35577005144591566931921988725662
5,6.35433585527421129768299579154700,329.15926994279953987643239088356495
6,5.80167501152031839239953114883974,300.67580820835257782164262607693672
7,5.29707693351897557221263923565857,274.66944244449189227452734485268593
8,4.83636178932100335714494576677680,250.92474924149658477290358860045671
9,4.41571325071757048164045045268722,229.24503972638245841153548099100590
10,4.03164688073261867629071275587194,209.45073029304336387212970294058323
11,3.68098127033220645643041279981844,191.37785502367663070799608249217272
12,3.36081168526202711532846478803549,174.87670747912318347516702488064766
13,3.06848600471708232717560349556152,159.81060060742547079826181288808584
14,2.80158275253173494334646420611534,146.05473449832376786616805475205183
15,2.55789103891176772265225736191496,133.49516260473893680682522244751453
16,2.33539224655612542846938595175743,122.02784786795463389807991916313767
17,2.13224330946538032094395020976663,111.55780092792724644823465496301651
18,1.94676144592727928817055271792924,101.99829328009684559219749644398689
19,1.77741021921523745241699998587137,93.27013886088813876540370984002948
20,1.62278681053365203545979511545738,85.30103811092938315141509519889951
21,1.48161039878574207762085279682651,78.02497908254807157391041982918978
22,1.35271155090781047825032601394923,71.38169063061539532100141514092684
23,1.23502253488488755728269552491838,65.31614315725997244044265244156122
24,1.12756847520577774268701887194766,59.77809277487425987374081159941852
25,1.02945927749379984028621493052924,54.72166511148960665877893916331232
26,0.93988225542098913223298950470053,50.10497531098536683202837593853474
27,0.85809539883095953261005206513801,45.92193161048769667331725941039622
28,0.78342122730691499121746801392874,42.10970780261722978821126162074506
29,0.71524117827099009669922224929905,38.62901828371390422489639604464173
30,0.65299048312876883937150296333130,36.07505880785725338455449673347175
31,0.59615348901561038275076498393901,34.13764333960777719312318367883563
32,0.54425938739250734332841830109828,32.36871736517399966714947368018329
33,0.49687831410936850184967283894366,30.75362800808633778615330811589956
34,0.45361778863063556554990896074742,29.27899669559590734024823177605867
35,0.41411946292761586674302520805213,27.93260833743202908863167976960540
36,0.37805615310700702025314967613667,27.03882610486238036173745058476925
37,0.34512912918716104337946148916672,26.56045028790583018007964710704982
38,0.31506564057196800865412456005288,26.12367695661824740227530128322542
39,0.28761665672465591692130715273379,25.72488810450249374639497546013445
40,0.26255480432642230859130449971417,25.36078036902554799780773464590311
41,0.23967248383234665554120113029057,25.02833766825607497708006121683866
42,0.21878014982313095937449531902530,24.72480621718668913899819017387927
43,0.19970474090795328758751736586419,24.44767171678993022965187265072018
44,0.18228824617257657902946732519922,24.19463852685340299331073765642941
45,0.16638639629789025997652629484946,23.96361065007227963974401063751429
46,0.15186746850678659037647832974471,23.76813788836433971596306946594268
47,0.13861119544016509141926007941947,23.64157687241609906436679011676461
48,0.12650776892374449023037641381961,23.52602237616553892962656391318887
49,0.11545693037340883091435017604454,23.42051720536967351904422685038298
50,0.10536714030446425738318794174120,23.32418740924880751208547735586762
51,0.09615482006544656679025706580433,23.23623504112607562888115353416651
52,0.08774365951539433994277317196975,23.15593154864610170307059888727963
53,0.08006398490973826165273408150824,23.08261173882026895398666965775192
54,0.07305218175869854224657728991588,23.01566826790919151335401693359017
55,0.06665016787744360016176869976334,22.95454661049803490868725930340588
56,0.06080491226302942031622933427570,22.89874046609234525817555550020188
57,0.05546799581274183127410637439425,22.84778756518387154983429354615510
58,0.05059521024505613667754388984577,22.80126584004701939534243138041347
59,0.04614619190088366240676265306320,22.75878992854600824102817568928003
60,0.04208408739169954004832874261410,22.72000798199236726304661715403199
61,0.03837524832495405047172454260362,22.68459875061060060374984459485859
62,0.03498895257802848990369426473990,22.65226892246974443878571037203074
63,0.03189714981191155152018268381653,22.62275069383755976559768896549940
64,0.02907422911656258601720281831149,22.59579955083157543072047701571137
65,0.02649680686325443790263278742714,22.57119224399150780868694710079581
66,0.02414353300657361492409513914481,22.54872493899490848434652434661984
67,0.02199491423158259420511662085573,22.52821152819823424806600087322295
68,0.02003315248118637051377710633915,22.50948208901643710078133153729141
69,0.01824199752614613298518086992317,22.49238147637128548694818164221942
70,0.01660661235650602238211881456209,22.47676803754906771359856065828353
71,0.01511345027940435604973945515894,22.46251243882206694024716853164136
72,0.01375014270521057388463326276451,22.44949659411421194477043172810227
73,0.01250539669246570305405352740991,22.43761268683660503597820934373885
74,0.01136890140294125051134699333488,22.42676227678999367753931437619030
75,0.01033124269193799391053367742188,22.41685548473675027025819872505963
76,0.00938382512633465469542581871565,22.40781024788719122398106264881790
77,0.00851880078442368918190119586598,22.39955164013357702401663118507713
78,0.00772900424774876967232151159237,22.39201125140048986850160872563720
79,0.00700789324644947829445751352750,22.38512662097102179359353613108397
80,0.00634949446644962264829636922059,22.37884072009397229408023122232407
81,0.00574835406958388445142205114280,22.37310147958704931170359486714005
82,0.00519949251679670786108200530862,22.36786135852235446463964763097465
83,0.00469836332019205743515399831267,22.36307695042178877997685049194843
84,0.00424081538225692424026735949383,22.35870862369984024553559720516205
85,0.00382305861029650674576263469362,22.35472019337609594913374166935682
86,0.00344163252124801699594058845832,22.35107862133721923214579874183983
87,0.00309337757681209246651832245334,22.34775374266616410068309050984681
88,0.00277540901145615324929760703299,22.34471801577154792539658956229687
89,0.00248509293649478053833679069839,22.34194629424702327469276497140527
90,0.00222002452230540825439675245434,22.33941561857167457105788344051689
91,0.00197800807795174039827035272765,22.33710502592475322103382495697588
92,0.00175703886320495265838115273027,22.33499537654057220947834139224142
93,0.00155528648230288980836011347719,22.33306919516448019180643314030021
94,0.00137107972188924009948607363185,22.33131052629689961008807586040348
95,0.00120289270753839820649044867196,22.32970480202594742991095699835569
96,0.00104933226419349004410186410041,22.32823872135444887021549220662564
