INFO:root:Namespace(m='logistic', d='mnist', s=2, R=1000, K=5, M=10000, P=10, partition='exdir', alpha=[1, 100.0], optim='sgd', lr=0.01, lr_decay=1.0, momentum=0.0, weight_decay=0.0, global_lr=1.0, batch_size=1, seed=0, clip=0, log='info+log', eval_every=10, device=0, start_round=0, save_model=0)
INFO:root:record_name: ShufflingFedAvg1.0_M10000_P10_K5_R1000,10_logistic_mnist_exdir1,100.0_sgd0.01,1.0,0.0,0.0_b1_seed0_clip0
INFO:root:Logistic(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer): Linear(in_features=784, out_features=10, bias=True)
)
INFO:root:Round 440's server train  acc:  89.21%, train loss: 0.3647
INFO:root:Round 440's server test   acc:  89.66%, test  loss: 0.3574
INFO:root:Round 450's server train  acc:  89.86%, train loss: 0.3514
INFO:root:Round 450's server test   acc:  90.32%, test  loss: 0.3355
INFO:root:Round 460's server train  acc:  89.95%, train loss: 0.3515
INFO:root:Round 460's server test   acc:  90.24%, test  loss: 0.3415
INFO:root:Round 470's server train  acc:  89.13%, train loss: 0.3697
INFO:root:Round 470's server test   acc:  89.51%, test  loss: 0.3581
INFO:root:Round 480's server train  acc:  89.37%, train loss: 0.3576
INFO:root:Round 480's server test   acc:  89.87%, test  loss: 0.3513
INFO:root:Round 490's server train  acc:  90.25%, train loss: 0.3456
INFO:root:Round 490's server test   acc:  90.23%, test  loss: 0.3383
INFO:root:Round 500's server train  acc:  90.37%, train loss: 0.3414
INFO:root:Round 500's server test   acc:  90.91%, test  loss: 0.3264
INFO:root:Round 510's server train  acc:  90.25%, train loss: 0.3392
INFO:root:Round 510's server test   acc:  90.37%, test  loss: 0.3309
INFO:root:Round 520's server train  acc:  89.64%, train loss: 0.3521
INFO:root:Round 520's server test   acc:  90.16%, test  loss: 0.3437
INFO:root:Round 530's server train  acc:  89.62%, train loss: 0.3626
INFO:root:Round 530's server test   acc:  89.88%, test  loss: 0.3543
INFO:root:Round 540's server train  acc:  90.06%, train loss: 0.3459
INFO:root:Round 540's server test   acc:  90.47%, test  loss: 0.3326
INFO:root:Round 550's server train  acc:  89.38%, train loss: 0.3583
INFO:root:Round 550's server test   acc:  89.60%, test  loss: 0.3491
INFO:root:Round 560's server train  acc:  89.74%, train loss: 0.3646
INFO:root:Round 560's server test   acc:  90.19%, test  loss: 0.3496
INFO:root:Round 570's server train  acc:  90.39%, train loss: 0.3374
INFO:root:Round 570's server test   acc:  90.84%, test  loss: 0.3245
INFO:root:Round 580's server train  acc:  90.58%, train loss: 0.3311
INFO:root:Round 580's server test   acc:  91.03%, test  loss: 0.3189
INFO:root:Round 590's server train  acc:  90.16%, train loss: 0.3390
INFO:root:Round 590's server test   acc:  90.49%, test  loss: 0.3287
INFO:root:Round 600's server train  acc:  89.36%, train loss: 0.3545
INFO:root:Round 600's server test   acc:  89.68%, test  loss: 0.3431
INFO:root:Round 610's server train  acc:  89.97%, train loss: 0.3402
INFO:root:Round 610's server test   acc:  90.24%, test  loss: 0.3316
INFO:root:Round 620's server train  acc:  90.12%, train loss: 0.3404
INFO:root:Round 620's server test   acc:  90.39%, test  loss: 0.3308
INFO:root:Round 630's server train  acc:  89.19%, train loss: 0.3588
INFO:root:Round 630's server test   acc:  89.71%, test  loss: 0.3528
INFO:root:Round 640's server train  acc:  89.94%, train loss: 0.3426
INFO:root:Round 640's server test   acc:  90.14%, test  loss: 0.3334
INFO:root:Round 650's server train  acc:  89.79%, train loss: 0.3443
INFO:root:Round 650's server test   acc:  90.08%, test  loss: 0.3391
INFO:root:Round 660's server train  acc:  90.12%, train loss: 0.3359
INFO:root:Round 660's server test   acc:  90.53%, test  loss: 0.3262
INFO:root:Round 670's server train  acc:  89.48%, train loss: 0.3526
INFO:root:Round 670's server test   acc:  89.68%, test  loss: 0.3477
INFO:root:Round 680's server train  acc:  89.46%, train loss: 0.3484
INFO:root:Round 680's server test   acc:  89.71%, test  loss: 0.3447
INFO:root:Round 690's server train  acc:  90.45%, train loss: 0.3300
INFO:root:Round 690's server test   acc:  90.79%, test  loss: 0.3230
INFO:root:Round 700's server train  acc:  90.54%, train loss: 0.3280
INFO:root:Round 700's server test   acc:  91.00%, test  loss: 0.3227
INFO:root:Round 710's server train  acc:  90.15%, train loss: 0.3336
INFO:root:Round 710's server test   acc:  90.64%, test  loss: 0.3239
INFO:root:Round 720's server train  acc:  90.01%, train loss: 0.3397
INFO:root:Round 720's server test   acc:  90.35%, test  loss: 0.3360
INFO:root:Round 730's server train  acc:  90.40%, train loss: 0.3337
INFO:root:Round 730's server test   acc:  90.47%, test  loss: 0.3296
INFO:root:Round 740's server train  acc:  89.54%, train loss: 0.3437
INFO:root:Round 740's server test   acc:  89.85%, test  loss: 0.3374
INFO:root:Round 750's server train  acc:  89.79%, train loss: 0.3409
INFO:root:Round 750's server test   acc:  89.86%, test  loss: 0.3333
INFO:root:Round 760's server train  acc:  89.80%, train loss: 0.3429
INFO:root:Round 760's server test   acc:  90.06%, test  loss: 0.3359
INFO:root:Round 770's server train  acc:  90.37%, train loss: 0.3312
INFO:root:Round 770's server test   acc:  90.53%, test  loss: 0.3280
INFO:root:Round 780's server train  acc:  90.18%, train loss: 0.3370
INFO:root:Round 780's server test   acc:  90.53%, test  loss: 0.3263
INFO:root:Round 790's server train  acc:  90.14%, train loss: 0.3370
INFO:root:Round 790's server test   acc:  90.57%, test  loss: 0.3346
INFO:root:Round 800's server train  acc:  89.33%, train loss: 0.3596
INFO:root:Round 800's server test   acc:  88.90%, test  loss: 0.3595
INFO:root:Round 810's server train  acc:  90.69%, train loss: 0.3282
INFO:root:Round 810's server test   acc:  90.64%, test  loss: 0.3275
INFO:root:Round 820's server train  acc:  90.73%, train loss: 0.3271
INFO:root:Round 820's server test   acc:  90.95%, test  loss: 0.3237
INFO:root:Round 830's server train  acc:  89.23%, train loss: 0.3533
INFO:root:Round 830's server test   acc:  89.51%, test  loss: 0.3506
INFO:root:Round 840's server train  acc:  89.86%, train loss: 0.3432
INFO:root:Round 840's server test   acc:  89.97%, test  loss: 0.3420
INFO:root:Round 850's server train  acc:  90.30%, train loss: 0.3331
INFO:root:Round 850's server test   acc:  90.60%, test  loss: 0.3324
INFO:root:Round 860's server train  acc:  90.73%, train loss: 0.3240
INFO:root:Round 860's server test   acc:  90.74%, test  loss: 0.3209
INFO:root:Round 870's server train  acc:  90.66%, train loss: 0.3202
INFO:root:Round 870's server test   acc:  90.86%, test  loss: 0.3134
INFO:root:Round 880's server train  acc:  90.52%, train loss: 0.3280
INFO:root:Round 880's server test   acc:  90.48%, test  loss: 0.3272
INFO:root:Round 890's server train  acc:  90.79%, train loss: 0.3208
INFO:root:Round 890's server test   acc:  90.99%, test  loss: 0.3184
INFO:root:Round 900's server train  acc:  90.73%, train loss: 0.3241
INFO:root:Round 900's server test   acc:  90.87%, test  loss: 0.3164
INFO:root:Round 910's server train  acc:  90.58%, train loss: 0.3282
INFO:root:Round 910's server test   acc:  90.70%, test  loss: 0.3240
INFO:root:Round 920's server train  acc:  90.35%, train loss: 0.3324
INFO:root:Round 920's server test   acc:  90.42%, test  loss: 0.3286
INFO:root:Round 930's server train  acc:  90.63%, train loss: 0.3251
INFO:root:Round 930's server test   acc:  90.57%, test  loss: 0.3193
INFO:root:Round 940's server train  acc:  91.03%, train loss: 0.3167
INFO:root:Round 940's server test   acc:  91.18%, test  loss: 0.3117
INFO:root:Round 950's server train  acc:  90.64%, train loss: 0.3214
INFO:root:Round 950's server test   acc:  90.83%, test  loss: 0.3123
INFO:root:Round 960's server train  acc:  90.72%, train loss: 0.3207
INFO:root:Round 960's server test   acc:  90.86%, test  loss: 0.3148
INFO:root:Round 970's server train  acc:  89.79%, train loss: 0.3410
INFO:root:Round 970's server test   acc:  90.01%, test  loss: 0.3417
INFO:root:Round 980's server train  acc:  90.91%, train loss: 0.3180
INFO:root:Round 980's server test   acc:  90.81%, test  loss: 0.3146
INFO:root:Round 990's server train  acc:  90.25%, train loss: 0.3301
INFO:root:Round 990's server test   acc:  90.16%, test  loss: 0.3290
INFO:root:Round 1000's server train  acc:  90.75%, train loss: 0.3218
INFO:root:Round 1000's server test   acc:  90.59%, test  loss: 0.3178
INFO:root:TrainingTime: 157.13299226760864 sec
