INFO:root:Namespace(m='logistic', d='mnist', s=2, R=10000, K=5, M=1000, P=10, partition='exdir', alpha=[1, 100.0], optim='sgd', lr=0.01, lr_decay=1.0, momentum=0.0, weight_decay=0.0, global_lr=1.0, batch_size=20, seed=0, clip=10, log='info+log', eval_every=100, device=0, start_round=0, save_model=0)
INFO:root:record_name: BalancingFedAvgII1.0_M1000_P10_K5_R10000,100_logistic_mnist_exdir1,100.0_sgd0.01,1.0,0.0,0.0_b20_seed0_clip10
INFO:root:Logistic(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer): Linear(in_features=784, out_features=10, bias=True)
)
INFO:root:Round 4300's server train  acc:  92.57%, train loss: 0.2656
INFO:root:Round 4300's server test   acc:  92.05%, test  loss: 0.2764
INFO:root:Round 4400's server train  acc:  92.62%, train loss: 0.2651
INFO:root:Round 4400's server test   acc:  92.03%, test  loss: 0.2754
INFO:root:Round 4500's server train  acc:  92.66%, train loss: 0.2643
INFO:root:Round 4500's server test   acc:  92.14%, test  loss: 0.2747
INFO:root:Round 4600's server train  acc:  92.65%, train loss: 0.2644
INFO:root:Round 4600's server test   acc:  92.14%, test  loss: 0.2750
INFO:root:Round 4700's server train  acc:  92.65%, train loss: 0.2640
INFO:root:Round 4700's server test   acc:  92.15%, test  loss: 0.2752
INFO:root:Round 4800's server train  acc:  92.63%, train loss: 0.2639
INFO:root:Round 4800's server test   acc:  92.20%, test  loss: 0.2746
INFO:root:Round 4900's server train  acc:  92.68%, train loss: 0.2634
INFO:root:Round 4900's server test   acc:  92.05%, test  loss: 0.2756
INFO:root:Round 5000's server train  acc:  92.70%, train loss: 0.2629
INFO:root:Round 5000's server test   acc:  92.11%, test  loss: 0.2748
INFO:root:Round 5100's server train  acc:  92.70%, train loss: 0.2623
INFO:root:Round 5100's server test   acc:  92.10%, test  loss: 0.2740
INFO:root:Round 5200's server train  acc:  92.73%, train loss: 0.2619
INFO:root:Round 5200's server test   acc:  92.22%, test  loss: 0.2736
INFO:root:Round 5300's server train  acc:  92.72%, train loss: 0.2615
INFO:root:Round 5300's server test   acc:  92.21%, test  loss: 0.2743
INFO:root:Round 5400's server train  acc:  92.72%, train loss: 0.2614
INFO:root:Round 5400's server test   acc:  92.11%, test  loss: 0.2732
INFO:root:Round 5500's server train  acc:  92.73%, train loss: 0.2609
INFO:root:Round 5500's server test   acc:  92.19%, test  loss: 0.2739
INFO:root:Round 5600's server train  acc:  92.73%, train loss: 0.2613
INFO:root:Round 5600's server test   acc:  92.09%, test  loss: 0.2757
INFO:root:Round 5700's server train  acc:  92.79%, train loss: 0.2605
INFO:root:Round 5700's server test   acc:  92.09%, test  loss: 0.2742
INFO:root:Round 5800's server train  acc:  92.71%, train loss: 0.2609
INFO:root:Round 5800's server test   acc:  92.07%, test  loss: 0.2745
INFO:root:Round 5900's server train  acc:  92.79%, train loss: 0.2601
INFO:root:Round 5900's server test   acc:  92.18%, test  loss: 0.2732
INFO:root:Round 6000's server train  acc:  92.79%, train loss: 0.2595
INFO:root:Round 6000's server test   acc:  92.16%, test  loss: 0.2728
INFO:root:Round 6100's server train  acc:  92.78%, train loss: 0.2601
INFO:root:Round 6100's server test   acc:  92.10%, test  loss: 0.2745
INFO:root:Round 6200's server train  acc:  92.80%, train loss: 0.2589
INFO:root:Round 6200's server test   acc:  92.23%, test  loss: 0.2726
INFO:root:Round 6300's server train  acc:  92.79%, train loss: 0.2590
INFO:root:Round 6300's server test   acc:  92.22%, test  loss: 0.2728
INFO:root:Round 6400's server train  acc:  92.81%, train loss: 0.2586
INFO:root:Round 6400's server test   acc:  92.21%, test  loss: 0.2722
INFO:root:Round 6500's server train  acc:  92.80%, train loss: 0.2582
