INFO:root:Namespace(m='logistic', d='fashionmnist', s=2, R=10000, K=5, M=1000, P=10, partition='exdir', alpha=[1, 100.0], optim='sgd', lr=0.01, lr_decay=1.0, momentum=0.0, weight_decay=0.0, global_lr=1.0, batch_size=20, seed=0, clip=10, log='info+log', eval_every=100, device=0, start_round=0, save_model=0)
INFO:root:record_name: BalancingFedAvgII1.0_M1000_P10_K5_R10000,100_logistic_fashionmnist_exdir1,100.0_sgd0.01,1.0,0.0,0.0_b20_seed0_clip10
INFO:root:Logistic(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer): Linear(in_features=784, out_features=10, bias=True)
)
INFO:root:Round 4200's server test   acc:  84.01%, test  loss: 0.4513
INFO:root:Round 4300's server train  acc:  85.96%, train loss: 0.4068
INFO:root:Round 4300's server test   acc:  84.13%, test  loss: 0.4516
INFO:root:Round 4400's server train  acc:  85.98%, train loss: 0.4047
INFO:root:Round 4400's server test   acc:  84.15%, test  loss: 0.4490
INFO:root:Round 4500's server train  acc:  85.81%, train loss: 0.4076
INFO:root:Round 4500's server test   acc:  83.91%, test  loss: 0.4528
INFO:root:Round 4600's server train  acc:  85.98%, train loss: 0.4058
INFO:root:Round 4600's server test   acc:  83.95%, test  loss: 0.4504
INFO:root:Round 4700's server train  acc:  86.10%, train loss: 0.4039
INFO:root:Round 4700's server test   acc:  84.05%, test  loss: 0.4488
INFO:root:Round 4800's server train  acc:  86.06%, train loss: 0.4045
INFO:root:Round 4800's server test   acc:  84.02%, test  loss: 0.4504
INFO:root:Round 4900's server train  acc:  86.06%, train loss: 0.4021
INFO:root:Round 4900's server test   acc:  84.03%, test  loss: 0.4482
INFO:root:Round 5000's server train  acc:  86.05%, train loss: 0.4020
INFO:root:Round 5000's server test   acc:  84.16%, test  loss: 0.4480
INFO:root:Round 5100's server train  acc:  86.00%, train loss: 0.4037
INFO:root:Round 5100's server test   acc:  84.17%, test  loss: 0.4495
INFO:root:Round 5200's server train  acc:  86.01%, train loss: 0.4025
INFO:root:Round 5200's server test   acc:  84.13%, test  loss: 0.4493
INFO:root:Round 5300's server train  acc:  86.11%, train loss: 0.4002
INFO:root:Round 5300's server test   acc:  84.16%, test  loss: 0.4474
INFO:root:Round 5400's server train  acc:  86.10%, train loss: 0.4010
INFO:root:Round 5400's server test   acc:  83.90%, test  loss: 0.4480
INFO:root:Round 5500's server train  acc:  85.85%, train loss: 0.4038
INFO:root:Round 5500's server test   acc:  84.00%, test  loss: 0.4509
INFO:root:Round 5600's server train  acc:  86.18%, train loss: 0.3992
INFO:root:Round 5600's server test   acc:  84.17%, test  loss: 0.4463
INFO:root:Round 5700's server train  acc:  86.17%, train loss: 0.3996
INFO:root:Round 5700's server test   acc:  84.20%, test  loss: 0.4466
INFO:root:Round 5800's server train  acc:  86.20%, train loss: 0.3991
INFO:root:Round 5800's server test   acc:  84.04%, test  loss: 0.4476
INFO:root:Round 5900's server train  acc:  86.20%, train loss: 0.3990
INFO:root:Round 5900's server test   acc:  84.10%, test  loss: 0.4464
INFO:root:Round 6000's server train  acc:  86.22%, train loss: 0.3975
INFO:root:Round 6000's server test   acc:  84.13%, test  loss: 0.4459
INFO:root:Round 6100's server train  acc:  86.16%, train loss: 0.3989
INFO:root:Round 6100's server test   acc:  84.09%, test  loss: 0.4472
INFO:root:Round 6200's server train  acc:  86.11%, train loss: 0.3996
INFO:root:Round 6200's server test   acc:  84.01%, test  loss: 0.4475
INFO:root:Round 6300's server train  acc:  86.14%, train loss: 0.3961
INFO:root:Round 6300's server test   acc:  84.23%, test  loss: 0.4450
INFO:root:Round 6400's server train  acc:  86.17%, train loss: 0.3965
INFO:root:Round 6400's server test   acc:  84.10%, test  loss: 0.4460
INFO:root:Round 6500's server train  acc:  86.32%, train loss: 0.3951
INFO:root:Round 6500's server test   acc:  84.17%, test  loss: 0.4446
INFO:root:Round 6600's server train  acc:  86.26%, train loss: 0.3950
INFO:root:Round 6600's server test   acc:  84.29%, test  loss: 0.4451
INFO:root:Round 6700's server train  acc:  86.30%, train loss: 0.3952
INFO:root:Round 6700's server test   acc:  84.27%, test  loss: 0.4451
INFO:root:Round 6800's server train  acc:  86.28%, train loss: 0.3939
INFO:root:Round 6800's server test   acc:  84.17%, test  loss: 0.4437
INFO:root:Round 6900's server train  acc:  86.28%, train loss: 0.3939
INFO:root:Round 6900's server test   acc:  84.28%, test  loss: 0.4446
INFO:root:Round 7000's server train  acc:  86.30%, train loss: 0.3940
INFO:root:Round 7000's server test   acc:  84.34%, test  loss: 0.4439
INFO:root:Round 7100's server train  acc:  86.36%, train loss: 0.3943
INFO:root:Round 7100's server test   acc:  84.07%, test  loss: 0.4442
INFO:root:Round 7200's server train  acc:  86.42%, train loss: 0.3928
INFO:root:Round 7200's server test   acc:  84.24%, test  loss: 0.4436
INFO:root:Round 7300's server train  acc:  86.24%, train loss: 0.3927
INFO:root:Round 7300's server test   acc:  84.05%, test  loss: 0.4438
INFO:root:Round 7400's server train  acc:  86.30%, train loss: 0.3936
INFO:root:Round 7400's server test   acc:  84.14%, test  loss: 0.4446
INFO:root:Round 7500's server train  acc:  86.43%, train loss: 0.3912
INFO:root:Round 7500's server test   acc:  84.22%, test  loss: 0.4426
INFO:root:Round 7600's server train  acc:  86.25%, train loss: 0.3919
INFO:root:Round 7600's server test   acc:  84.24%, test  loss: 0.4431
INFO:root:Round 7700's server train  acc:  86.35%, train loss: 0.3917
INFO:root:Round 7700's server test   acc:  84.15%, test  loss: 0.4434
INFO:root:Round 7800's server train  acc:  86.42%, train loss: 0.3897
INFO:root:Round 7800's server test   acc:  84.38%, test  loss: 0.4416
INFO:root:Round 7900's server train  acc:  86.22%, train loss: 0.3938
INFO:root:Round 7900's server test   acc:  83.94%, test  loss: 0.4457
INFO:root:Round 8000's server train  acc:  86.44%, train loss: 0.3907
INFO:root:Round 8000's server test   acc:  84.21%, test  loss: 0.4421
INFO:root:Round 8100's server train  acc:  86.41%, train loss: 0.3900
INFO:root:Round 8100's server test   acc:  84.20%, test  loss: 0.4427
INFO:root:Round 8200's server train  acc:  86.35%, train loss: 0.3901
INFO:root:Round 8200's server test   acc:  84.02%, test  loss: 0.4424
INFO:root:Round 8300's server train  acc:  86.36%, train loss: 0.3896
INFO:root:Round 8300's server test   acc:  84.17%, test  loss: 0.4421
INFO:root:Round 8400's server train  acc:  86.40%, train loss: 0.3902
INFO:root:Round 8400's server test   acc:  84.22%, test  loss: 0.4430
INFO:root:Round 8500's server train  acc:  86.37%, train loss: 0.3891
INFO:root:Round 8500's server test   acc:  84.27%, test  loss: 0.4415
INFO:root:Round 8600's server train  acc:  86.45%, train loss: 0.3889
INFO:root:Round 8600's server test   acc:  84.18%, test  loss: 0.4422
INFO:root:Round 8700's server train  acc:  86.39%, train loss: 0.3891
INFO:root:Round 8700's server test   acc:  84.26%, test  loss: 0.4423
INFO:root:Round 8800's server train  acc:  86.34%, train loss: 0.3917
INFO:root:Round 8800's server test   acc:  84.01%, test  loss: 0.4447
INFO:root:Round 8900's server train  acc:  86.34%, train loss: 0.3904
INFO:root:Round 8900's server test   acc:  84.08%, test  loss: 0.4438
INFO:root:Round 9000's server train  acc:  86.47%, train loss: 0.3885
INFO:root:Round 9000's server test   acc:  84.18%, test  loss: 0.4423
INFO:root:Round 9100's server train  acc:  86.44%, train loss: 0.3877
INFO:root:Round 9100's server test   acc:  84.15%, test  loss: 0.4419
INFO:root:Round 9200's server train  acc:  86.35%, train loss: 0.3901
INFO:root:Round 9200's server test   acc:  84.04%, test  loss: 0.4440
INFO:root:Round 9300's server train  acc:  86.39%, train loss: 0.3895
INFO:root:Round 9300's server test   acc:  84.17%, test  loss: 0.4435
INFO:root:Round 9400's server train  acc:  86.43%, train loss: 0.3861
INFO:root:Round 9400's server test   acc:  84.28%, test  loss: 0.4406
INFO:root:Round 9500's server train  acc:  86.54%, train loss: 0.3877
INFO:root:Round 9500's server test   acc:  84.30%, test  loss: 0.4420
INFO:root:Round 9600's server train  acc:  86.47%, train loss: 0.3867
INFO:root:Round 9600's server test   acc:  84.19%, test  loss: 0.4414
INFO:root:Round 9700's server train  acc:  86.47%, train loss: 0.3869
INFO:root:Round 9700's server test   acc:  84.13%, test  loss: 0.4422
INFO:root:Round 9800's server train  acc:  86.41%, train loss: 0.3878
INFO:root:Round 9800's server test   acc:  84.04%, test  loss: 0.4435
INFO:root:Round 9900's server train  acc:  86.52%, train loss: 0.3863
INFO:root:Round 9900's server test   acc:  84.19%, test  loss: 0.4414
INFO:root:Round 10000's server train  acc:  86.44%, train loss: 0.3861
INFO:root:Round 10000's server test   acc:  84.14%, test  loss: 0.4416
INFO:root:TrainingTime: 767.6468732357025 sec
